Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2023-12-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,NEW,,TR,
2023-12-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,APPROVED,,TR,
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,199.99,TRY,33.33,199.99,SALE,PENDING,SETTLED,TR,2023-12-10
2023-11-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,PENDING,,TR,
2023-11-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,NEW,,TR,
2023-11-10,,,payment_transaction,CC,0170,,,,TRY,,199.99,SALE,APPROVED,,TR,
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,199.99,TRY,33.33,199.99,SALE,APPROVED,SETTLED,TR,2023-12-10
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,199.99,TRY,33.33,199.99,SALE,NEW,SETTLED,TR,2023-12-10
2023-10-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,PENDING,,TR,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,130.99,TRY,21.83,130.99,SALE,NEW,SETTLED,TR,2023-11-10
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,130.99,TRY,21.83,130.99,SALE,PENDING,SETTLED,TR,2023-11-10
2023-10-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,NEW,,TR,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,MASTERCARD,0170,,PAYMENTECH,130.99,TRY,21.83,130.99,SALE,APPROVED,SETTLED,TR,2023-11-10
2023-10-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,APPROVED,,TR,
2023-09-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,APPROVED,,TR,
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,MASTERCARD,0170,,CHECKOUT-NAS,130.99,TRY,21.83,130.99,SALE,APPROVED,SETTLED,TR,2023-10-10
2023-09-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,NEW,,TR,
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,MASTERCARD,0170,,CHECKOUT-NAS,130.99,TRY,21.83,130.99,SALE,NEW,SETTLED,TR,2023-10-10
2023-08-10,2023-08-10,2023-09-09,SUBSCRIPTION,MASTERCARD,0170,,ADYEN,130.99,TRY,21.83,130.99,SALE,NEW,SETTLED,TR,2023-09-10
2023-08-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,NEW,,TR,
2023-08-10,2023-08-10,2023-09-09,SUBSCRIPTION,MASTERCARD,0170,,ADYEN,130.99,TRY,21.83,130.99,SALE,APPROVED,SETTLED,TR,2023-09-10
2023-08-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,SALE,APPROVED,,TR,
2023-07-10,2023-07-10,2023-08-09,SUBSCRIPTION,MASTERCARD,0170,,CHECKOUT-NAS,130.99,TRY,21.83,130.99,CHARGE,APPROVED,RECOVERY,TR,2023-08-10
2023-07-10,2023-07-10,2023-08-09,SUBSCRIPTION,MASTERCARD,0170,,CHECKOUT-NAS,130.99,TRY,21.83,130.99,CAPTURE,APPROVED,RECOVERY,TR,2023-08-10
2023-07-10,,,payment_transaction,CC,5324,,,,TRY,,130.99,SALE,DECLINED,,TR,
2023-07-10,,,payment_transaction,CC,0170,,,,TRY,,130.99,CHARGE,APPROVED,,TR,
2023-07-10,,,payment_transaction,CC,5324,,,,TRY,,130.99,SALE,NEW,,TR,
2023-07-10,2023-07-10,2023-08-09,SUBSCRIPTION,VISA,5324,,CHECKOUT-NAS,130.99,TRY,21.83,130.99,SALE,NEW,REVERSAL,TR,2023-08-10
2023-07-10,2023-07-10,2023-08-09,SUBSCRIPTION,VISA,5324,,CHECKOUT-NAS,130.99,TRY,21.83,130.99,SALE,DECLINED,REVERSAL,TR,2023-08-10
2023-06-10,,,payment_transaction,CC,5324,,,,TRY,,130.99,SALE,APPROVED,,TR,
2023-06-10,,,payment_transaction,CC,5324,,,,TRY,,130.99,SALE,NEW,,TR,
2023-06-10,2023-06-10,2023-07-09,SUBSCRIPTION,VISA,5324,,ADYEN,130.99,TRY,19.98,130.99,SALE,APPROVED,SETTLED,TR,2023-07-10
2023-06-10,2023-06-10,2023-07-09,SUBSCRIPTION,VISA,5324,,ADYEN,130.99,TRY,19.98,130.99,SALE,NEW,SETTLED,TR,2023-07-10
2023-05-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,APPROVED,,TR,
2023-05-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,NEW,,TR,
2023-05-10,2023-05-10,2023-06-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,NEW,SETTLED,TR,2023-06-10
2023-05-10,2023-05-10,2023-06-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,APPROVED,SETTLED,TR,2023-06-10
2023-04-10,2023-04-10,2023-05-09,SUBSCRIPTION,VISA,5324,,PAYMENTECH,93.99,TRY,14.34,93.99,SALE,APPROVED,SETTLED,TR,2023-05-10
2023-04-10,2023-04-10,2023-05-09,SUBSCRIPTION,VISA,5324,,PAYMENTECH,93.99,TRY,14.34,93.99,SALE,PENDING,SETTLED,TR,2023-05-10
2023-04-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,APPROVED,,TR,
2023-04-10,2023-04-10,2023-05-09,SUBSCRIPTION,VISA,5324,,PAYMENTECH,93.99,TRY,14.34,93.99,SALE,NEW,SETTLED,TR,2023-05-10
2023-04-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,PENDING,,TR,
2023-04-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,NEW,,TR,
2023-03-10,2023-03-10,2023-04-09,SUBSCRIPTION,VISA,5324,,CHECKOUT-NAS,93.99,TRY,14.34,93.99,SALE,NEW,SETTLED,TR,2023-04-10
2023-03-10,2023-03-10,2023-04-09,SUBSCRIPTION,VISA,5324,,CHECKOUT-NAS,93.99,TRY,14.34,93.99,SALE,APPROVED,SETTLED,TR,2023-04-10
2023-03-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,NEW,,TR,
2023-03-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,APPROVED,,TR,
2023-02-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,APPROVED,,TR,
2023-02-10,2023-02-10,2023-03-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,APPROVED,SETTLED,TR,2023-03-10
2023-02-10,2023-02-10,2023-03-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,NEW,SETTLED,TR,2023-03-10
2023-02-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,NEW,,TR,
2023-01-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,APPROVED,,TR,
2023-01-10,2023-01-10,2023-02-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,NEW,SETTLED,TR,2023-02-10
2023-01-10,2023-01-10,2023-02-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,APPROVED,SETTLED,TR,2023-02-10
2023-01-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,NEW,,TR,
2022-12-10,2022-12-10,2023-01-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,APPROVED,SETTLED,TR,2023-01-10
2022-12-10,2022-12-10,2023-01-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,NEW,SETTLED,TR,2023-01-10
2022-12-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,NEW,,TR,
2022-12-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,APPROVED,,TR,
2022-11-10,2022-11-10,2022-12-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,NEW,SETTLED,TR,2022-12-10
2022-11-10,2022-11-10,2022-12-09,SUBSCRIPTION,VISA,5324,,ADYEN,93.99,TRY,14.34,93.99,SALE,APPROVED,SETTLED,TR,2022-12-10
2022-11-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,NEW,,TR,
2022-11-10,,,payment_transaction,CC,5324,,,,TRY,,93.99,SALE,APPROVED,,TR,
2022-10-10,2022-10-10,2022-11-09,SUBSCRIPTION,VISA,5324,,ADYEN,77.99,TRY,11.9,77.99,SALE,APPROVED,SETTLED,TR,2022-11-10
2022-10-10,,,payment_transaction,CC,5324,,,,TRY,,77.99,SALE,APPROVED,,TR,
2022-10-10,2022-10-10,2022-11-09,SUBSCRIPTION,VISA,5324,,ADYEN,77.99,TRY,11.9,77.99,SALE,NEW,SETTLED,TR,2022-11-10
2022-10-10,,,payment_transaction,CC,5324,,,,TRY,,77.99,SALE,NEW,,TR,
2022-09-10,2022-09-10,2022-10-09,SUBSCRIPTION,VISA,5324,,ADYEN,77.99,TRY,11.9,77.99,SALE,NEW,SETTLED,TR,2022-10-10
2022-09-10,,,payment_transaction,CC,5324,,,,TRY,,77.99,SALE,APPROVED,,TR,
2022-09-10,2022-09-10,2022-10-09,SUBSCRIPTION,VISA,5324,,ADYEN,77.99,TRY,11.9,77.99,SALE,APPROVED,SETTLED,TR,2022-10-10
2022-09-10,,,payment_transaction,CC,5324,,,,TRY,,77.99,SALE,NEW,,TR,
2022-08-11,,,payment_transaction,CC,5324,,,,TRY,,77.99,CHARGE,APPROVED,,TR,
2022-08-11,2022-08-10,2022-09-09,SUBSCRIPTION,VISA,5324,,ADYEN,77.99,TRY,11.9,77.99,CHARGE,APPROVED,RECOVERY,TR,2022-09-10
2022-08-11,2022-08-10,2022-09-09,SUBSCRIPTION,VISA,5324,,ADYEN,77.99,TRY,11.9,77.99,CAPTURE,APPROVED,RECOVERY,TR,2022-09-10
2022-08-10,2022-08-10,2022-09-09,SUBSCRIPTION,VISA,5324,,PAYMENTECH,77.99,TRY,11.9,77.99,SALE,NEW,REVERSAL,TR,2022-09-10
2022-08-10,,,payment_transaction,CC,5324,,,,TRY,,77.99,SALE,DECLINED,,TR,
2022-08-10,2022-08-10,2022-09-09,SUBSCRIPTION,VISA,5324,,PAYMENTECH,77.99,TRY,11.9,77.99,SALE,DECLINED,REVERSAL,TR,2022-09-10
2022-08-10,2022-08-10,2022-09-09,SUBSCRIPTION,VISA,5324,,PAYMENTECH,77.99,TRY,11.9,77.99,SALE,PENDING,REVERSAL,TR,2022-09-10
2022-08-10,,,payment_transaction,CC,5324,,,,TRY,,77.99,SALE,NEW,,TR,
2022-08-10,,,payment_transaction,CC,5324,,,,TRY,,77.99,SALE,PENDING,,TR,
2022-07-17,,,payment_transaction,CC,5324,,,,TRY,,0.0,VALIDATE,APPROVED,,TR,
2022-07-10,2022-07-10,2022-08-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,77.99,TRY,11.9,77.99,SALE,APPROVED,SETTLED,TR,2022-08-10
2022-07-10,,,payment_transaction,CC,5527,,,,TRY,,77.99,SALE,NEW,,TR,
2022-07-10,,,payment_transaction,CC,5527,,,,TRY,,77.99,SALE,APPROVED,,TR,
2022-07-10,2022-07-10,2022-08-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,77.99,TRY,11.9,77.99,SALE,NEW,SETTLED,TR,2022-08-10
2022-06-10,2022-06-10,2022-07-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,77.99,TRY,11.9,77.99,SALE,APPROVED,SETTLED,TR,2022-07-10
2022-06-10,2022-06-10,2022-07-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,77.99,TRY,11.9,77.99,SALE,NEW,SETTLED,TR,2022-07-10
2022-06-10,,,payment_transaction,CC,5527,,,,TRY,,77.99,SALE,NEW,,TR,
2022-06-10,,,payment_transaction,CC,5527,,,,TRY,,77.99,SALE,APPROVED,,TR,
2022-05-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2022-05-10,2022-05-10,2022-06-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2022-06-10
2022-05-10,2022-05-10,2022-06-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2022-06-10
2022-05-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2022-04-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2022-04-10,2022-04-10,2022-05-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2022-05-10
2022-04-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2022-04-10,2022-04-10,2022-05-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2022-05-10
2022-03-10,2022-03-10,2022-04-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2022-04-10
2022-03-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
