Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-03-10,2022-03-10,2022-04-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2022-04-10
2022-03-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2022-02-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2022-02-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2022-02-10,2022-02-10,2022-03-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2022-03-10
2022-02-10,2022-02-10,2022-03-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2022-03-10
2022-01-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2022-01-10,2022-01-10,2022-02-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2022-02-10
2022-01-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2022-01-10,2022-01-10,2022-02-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2022-02-10
2021-12-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-12-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-12-10,2021-12-10,2022-01-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2022-01-10
2021-12-10,2021-12-10,2022-01-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2022-01-10
2021-11-10,2021-11-10,2021-12-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-12-10
2021-11-10,2021-11-10,2021-12-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2021-12-10
2021-11-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-11-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-10-10,2021-10-10,2021-11-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2021-11-10
2021-10-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-10-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-10-10,2021-10-10,2021-11-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-11-10
2021-09-10,2021-09-10,2021-10-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-10-10
2021-09-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-09-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-09-10,2021-09-10,2021-10-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2021-10-10
2021-08-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-08-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-08-10,2021-08-10,2021-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-09-10
2021-08-10,2021-08-10,2021-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2021-09-10
2021-07-10,2021-07-10,2021-08-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-08-10
2021-07-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-07-10,2021-07-10,2021-08-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2021-08-10
2021-07-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-06-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-06-10,2021-06-10,2021-07-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,NEW,SETTLED,TR,2021-07-10
2021-06-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,NEW,,TR,
2021-06-10,2021-06-10,2021-07-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-07-10
2021-05-10,,,payment_transaction,CC,5527,,,,TRY,,54.99,SALE,APPROVED,,TR,
2021-05-10,2021-05-10,2021-06-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,54.99,TRY,8.39,54.99,SALE,APPROVED,SETTLED,TR,2021-06-10
2021-04-10,2021-04-10,2021-05-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-05-10
2021-04-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2021-03-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2021-03-10,2021-03-10,2021-04-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-04-10
2021-02-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2021-02-10,2021-02-10,2021-03-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-03-10
2021-01-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2021-01-10,2021-01-10,2021-02-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-02-10
2020-12-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-12-10,2020-12-10,2021-01-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2021-01-10
2020-11-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-11-10,2020-11-10,2020-12-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-12-10
2020-10-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-10-10,2020-10-10,2020-11-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-11-10
2020-09-10,2020-09-10,2020-10-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-10-10
2020-09-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-08-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-08-10,2020-08-10,2020-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,DECLINED,SETTLED,TR,2020-09-10
2020-08-10,2020-08-10,2020-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-09-10
2020-08-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,DECLINED,,TR,
2020-08-10,2020-08-10,2020-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,PENDING,SETTLED,TR,2020-09-10
2020-08-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,PENDING,,TR,
2020-07-10,2020-07-10,2020-08-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-08-10
2020-07-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2020-06-10,2020-06-10,2020-07-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,,,SETTLED,TR,2020-07-10
2020-05-10,2020-05-10,2020-06-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,,,SETTLED,TR,2020-06-10
2020-04-10,2020-04-10,2020-05-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,,,SETTLED,TR,2020-05-10
2020-03-10,2020-03-10,2020-04-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,,,SETTLED,TR,2020-04-10
2020-02-10,2020-02-10,2020-03-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,,,SETTLED,TR,2020-03-10
2020-01-10,2020-01-10,2020-02-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,,,SETTLED,TR,2020-02-10
2019-12-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2019-12-10,2019-12-10,2020-01-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2020-01-10
2019-11-10,2019-11-10,2019-12-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2019-12-10
2019-11-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2019-10-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2019-10-10,2019-10-10,2019-11-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2019-11-10
2019-09-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2019-09-10,2019-09-10,2019-10-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,SETTLED,TR,2019-10-10
2019-08-10,2019-08-10,2019-09-09,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,41.99,TRY,6.41,41.99,SALE,APPROVED,RECOVERY,TR,2019-09-10
2019-08-10,,,payment_transaction,CC,5527,,,,TRY,,41.99,SALE,APPROVED,,TR,
2019-08-10,,,payment_transaction,CC,8990,,,,TRY,,41.99,SALE,DECLINED,,TR,
2019-08-09,,,payment_transaction,CC,8990,,,,TRY,,41.99,SALE,DECLINED,,TR,
2019-08-07,,,payment_transaction,CC,8990,,,,TRY,,41.99,SALE,DECLINED,,TR,
2019-08-06,,,payment_transaction,CC,8990,,,,TRY,,41.99,SALE,DECLINED,,TR,
2019-08-04,2019-08-04,2019-09-03,SUBSCRIPTION,MASTERCARD,8990,,PAYMENTECH,41.99,TRY,6.41,41.99,SALE,DECLINED,REVERSAL,TR,2019-09-04
2019-08-04,,,payment_transaction,CC,8990,,,,TRY,,41.99,SALE,DECLINED,,TR,
2019-07-04,,,payment_transaction,CC,8990,,,,TRY,,39.99,SALE,APPROVED,,TR,
2019-07-04,2019-07-04,2019-08-03,SUBSCRIPTION,MASTERCARD,8990,,ADYEN,39.99,TRY,6.1,39.99,SALE,APPROVED,SETTLED,TR,2019-08-04
2019-06-04,,,payment_transaction,CC,8990,,,,TRY,,39.99,SALE,APPROVED,,TR,
2019-06-04,,,payment_transaction,CC,5527,,,,TRY,,39.99,SALE,DECLINED,,TR,
2019-06-04,2019-06-04,2019-07-03,SUBSCRIPTION,MASTERCARD,8990,,ADYEN,39.99,TRY,6.1,39.99,SALE,APPROVED,RECOVERY,TR,2019-07-04
2019-06-04,2019-06-04,2019-07-03,SUBSCRIPTION,MASTERCARD,5527,,PAYMENTECH,39.99,TRY,6.1,39.99,SALE,DECLINED,REVERSAL,TR,2019-07-04
2019-05-04,,,payment_transaction,CC,5527,,,,TRY,,39.99,SALE,APPROVED,,TR,
2019-05-04,2019-05-04,2019-06-03,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,39.99,TRY,6.1,39.99,SALE,APPROVED,SETTLED,TR,2019-06-04
2019-04-04,,,payment_transaction,CC,,,,,TRY,,39.99,SALE,APPROVED,,TR,
2019-04-04,2019-04-04,2019-05-03,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,39.99,TRY,6.1,39.99,SALE,APPROVED,SETTLED,TR,2019-05-04
2019-03-04,,,payment_transaction,CC,,,,,TRY,,39.99,SALE,APPROVED,,TR,
2019-03-04,2019-03-04,2019-04-03,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,39.99,TRY,6.1,39.99,SALE,APPROVED,SETTLED,TR,2019-04-04
2019-02-04,,,payment_transaction,CC,,,,,TRY,,39.99,SALE,APPROVED,,TR,
2019-02-04,2019-02-04,2019-03-03,SUBSCRIPTION,MASTERCARD,5527,,ADYEN,39.99,TRY,6.1,39.99,SALE,APPROVED,SETTLED,TR,2019-03-04
2019-01-04,2019-01-04,2019-02-03,SUBSCRIPTION,FREE_TRIAL,5527,,,39.99,TRY,0.0,0.0,,,SETTLED,TR,2019-02-04
2019-01-04,,,payment_transaction,CC,,,,,TRY,,0.0,VERIFY,APPROVED,,TR,
